BCAXF_BP6_USD,FIGB_PA,credit_government,credit_private,debt_service,House_prices,gdp_growth,credit_growth,inflation,stock_growth,credit_gap,house_gap,house_growth,Country_AT,Country_BE,Country_DE,Country_DK,Country_ES,Country_FI,Country_FR,Country_GB,Country_GR,Country_IE,Country_IT,Country_LU,Country_NL,Country_PT,Country_SE,three_year
-656.149518,10.18333333,,122.1,,84.30106716,,0.053494392,0.064827089,-0.088235294,112.7022714,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-368.6173651,16.95,,106.4,,,,-0.013901761,0.163586299,,111.1147296,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
-1257.04242,11.34,,104.6,,81.66990091,-0.004595464,-0.018761726,0.133080492,0.082448871,105.8834574,75.66652813,-0.088575336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,9.366666666,,80.2,,,,0.072192513,0.069581222,0.042195607,75.17047876,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,11.76666667,,87.3,,,,-0.109183673,0.065205386,,84.92088279,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7259.090999,7.986666667,,94.1,,172.5950426,,0.021715527,0.051917625,0.00093272,95.33230097,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-194.7520097,,,119.7,,,,-0.008285004,0.114973218,,121.2018545,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-890.4052592,16.10666667,,75.5,,,,0.013422819,0.151238893,,75.84626699,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-648.5374773,,,88,,93.25097182,,0.025641026,0.122076299,-0.002352941,90.84155208,105.0074684,0.00269869,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-1657.203863,12.99666667,,106.5,,83.35233517,-0.040312452,0.010436433,0.136216993,0.056341719,107.8513475,,0.072220762,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3154.761912,13.34333333,,56.8,,,-0.026024619,0.010676157,0.163589121,0.102513661,61.90418851,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,,,43.7,,,,-0.022371365,0.242268089,,44.49334651,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,,75.6,,98.13215506,,0.032786885,0.185039464,0.022446226,72.01001906,,-0.049632462,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-1653.690808,15.57666667,,55,,116.3031165,,-0.046793761,0.217990737,0.538733949,59.73727396,105.2478743,0.055881497,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,7.509999999,,,,,,,0.062090513,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-763.6269702,9.86,,122.9,,79.37682032,,0.047740835,0.070715764,-0.06142634,113.8391425,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-80.91160407,16.20333333,,105.7,,,,-0.004708098,0.149045817,,110.7891382,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
-1360.855533,11.82333333,,103,,81.00471305,0.019537265,-0.028301887,0.135162565,0.092564112,106.4005196,75.22092907,-0.081994536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,9.759999999,,81.2,,,,0.050452781,0.065885033,-0.010602205,75.75692607,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,12.27333333,,87.9,,,,-0.112121212,0.073771945,,84.93089913,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3139.443622,8.64,,97.2,,173.2542989,,0.038461538,0.05143661,0.011839242,95.6739091,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-334.5497058,19.62,,120.4,,,,0.000831255,0.107491992,,121.45433,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-1168.229382,16.55,,76.9,,,,0.023968043,0.149638779,,75.63747506,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-142.6307449,,,87.3,,90.36238382,,-0.001144165,0.135346815,-0.03406326,91.50823284,104.9624752,-0.026242576,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-938.9848406,13.71,,108,,84.01107315,0.035786668,0.010289991,0.135897703,0.135665077,108.1247583,,0.065626459,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5425.696589,13.33666667,,56.7,,,-0.039276882,0.019784173,0.152799141,0.20979181,62.80135956,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-750,,,45.3,,,,0.017977528,0.256038565,,44.36979495,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,,79,,101.8322567,,0.053333333,0.182509136,0.126473907,72.00907588,,-0.023652984,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-3002.31771,16.13,,58.4,,127.7401387,,-0.016835017,0.208842306,1.089772505,59.57783827,104.8394248,0.269670406,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,7.709999999,,,,,,,0.064349347,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
