,ISO2 Code,year,RAXGFX_USD,LUR_PT,TXG_FOB_USD,TMG_CIF_USD,FDSAOP_XDC,AIP_IX,ENDE_XDC_USD_RATE,FMB_XDC,FIMM_PA,EREER_IX,FILR_PA,FISR_PA,FDSF_XDC,FDSB_XDC,RAXG_USD,PCPI_IX,FASMB_XDC,PCTOT,NGDP_XDC,BGS_BP6_USD,BCAXF_BP6_USD,DSTKMKTXD,month,couprisk
73361,US,2011-04-01,54191.04670797,8.7,124052.072376,183038.39811900002,,,1.0,,0.1,93.58340914000141,3.25,,,,131947.527247554,103.141631373664,,100.240112304688,,-146944.0,-121958.0,118.75271816068,04,0.0002609813236631453
73362,US,2011-05-01,53300.94479968,8.7,124235.660516,193944.59028,,,1.0,,0.09,93.44290396311659,3.25,,,,135904.884420298,103.626828949511,,100.20093536376999,,,,120.13857525868,05,0.00027194153517484665
73363,US,2011-06-01,53842.554239699995,9.3,125000.642272,196613.05602699998,,,1.0,,0.09,93.10332189848042,3.25,,,,136618.762949338,103.515848029515,,100.18661499023399,,,,115.52896331169,06,0.00026493609766475856
73364,US,2011-07-01,54634.68820496,9.3,120262.112698,192192.255563,,,1.0,,0.07,92.44906378400191,3.25,,,,138662.478884711,103.607567798106,,100.176414489746,,-152165.0,-124187.0,119.49235391572,07,0.0002705919905565679
73365,US,2011-08-01,54933.06764386,9.1,126731.947733,201493.998521,,,1.0,,0.1,93.023083164453,3.25,,,,139612.676086563,103.893274877267,,100.156860351563,,,,108.16887923375,08,0.0002649948874022812
73366,US,2011-09-01,52765.90731633,8.8,127032.073622,194473.362146,,,1.0,,0.08,95.61476368942051,3.25,,,,137445.563140641,104.051032879244,,100.13210296630899,,,,106.72526715968,09,0.0002726359816733748
73367,US,2011-10-01,53582.56210014,8.5,131099.391557,196779.21114200001,,,1.0,,0.07,96.5818160800184,3.25,,,,139654.08435668802,103.83640862074101,,100.07396697998001,,-137479.0,-105434.0,109.97681422457,10,0.00027146641514264047
73368,US,2011-11-01,52684.15139518,8.2,125752.04666600001,195141.102869,,,1.0,,0.08,97.15566937291278,3.25,,,,136987.26563940098,103.748816241737,,100.067886352539,,,,112.73104424151,11,0.0002735631132964045
73369,US,2011-12-01,51877.62256992,8.3,126891.23301099999,189192.749691,,,1.0,,0.07,98.03316019318329,3.25,,,,136912.226738474,103.492918087368,,100.040390014648,,,,115.32242905123,12,0.0002847450668923557
73370,US,2012-01-01,52279.33844241,8.8,117838.62865999999,188413.937006,,,1.0,,0.08,97.5970085273703,3.25,,,,138238.805320541,103.94830673842199,,100.065956115723,,-122789.0,-94103.0,119.86066289771,01,0.0003030926454812289
73371,US,2012-02-01,51532.00914721,8.7,123612.302071,176208.511202,,,1.0,,0.1,96.0563660618025,3.25,,,,137840.497908056,104.40598838369101,,100.09276580810499,,,,123.09005743906,02,0.0003010905929841101
73372,US,2012-03-01,51140.73120589,8.4,140219.065283,202337.84578,,,1.0,,0.13,96.4996833748929,3.25,,,,138036.81902511802,105.198905783161,,100.10376739501999,,,,124.90852006753,03,0.0003028669743798673
73373,US,2012-04-01,51675.19978314,7.7,127411.44224300001,194497.16023399998,,,1.0,,0.14,96.84849240605179,3.25,,,,141421.639632799,105.516714781329,,100.086044311523,,-146780.0,-120726.0,124.44333139804,04,0.0003072482941206545
73374,US,2012-05-01,50294.97567628,7.9,131233.07868399998,203638.740364,,,1.0,,0.16,98.11455746729109,3.25,,,,137823.77922206098,105.392893093731,,100.04714202880899,,,,121.48599688341,05,0.0003027041675522924
73375,US,2012-06-01,50518.84662167,8.4,132578.896665,196878.890334,,,1.0,,0.16,99.4001258477482,3.25,,,,138789.304034737,105.238345283655,,100.0,,,,119.80348494359,06,0.00031336021493189037
73376,US,2012-07-01,50292.55959273,8.6,121408.136228,198118.676247,,,1.0,,0.16,98.6193855084276,3.25,,,,138342.51715580802,105.06682931639,,100.063636779785,,-145075.0,-117745.0,122.37431002861,07,0.00030822589178569615
